,e2'_es,e2'_nl,Dev_en,e3'_en,Dev_de,e3'_de,Dev_es,e3'_es,Dev_nl,e3'_nl,Dev_zh,e3'_zh,Dev_en_de_zh,e3_es,e3_nl,embedd_sim
model-seed_74678-lr_5e-05-ep_6,0.2229580573951434,0.16191220528852412,0.05518282455551837,0.09270008795074747,0.14291795253804407,0.18823201338538764,0.24769818100157204,0.26241721854304634,0.18776244751049787,0.22451207861334788,0.10796875797641525,0.1337942252948352,0.10202317835665924,0.03945916114790293,0.06259987332482375,0.9296444058418274
model-seed_115990-lr_7e-05-ep_5,0.2289122408406703,0.20015667841754792,0.05814343163538882,0.09483288007719981,0.166434465759297,0.1948632049134562,0.25346244792253125,0.2707984366275824,0.19263852770554102,0.22464663098668858,0.12065794850837752,0.1468788249694003,0.1150786153010211,0.041886195786912106,0.02448995256914066,0.8901252150535583
model-seed_609719-lr_0.0001-ep_7,0.2559314895409237,0.2298039215686275,0.06341217916456976,0.10819097678493217,0.1725549332184403,0.1974630021141649,0.2721355627875659,0.27469478357380683,0.21235365361324177,0.24349493289509727,0.11761090052248735,0.16354050491736793,0.1178593376351658,0.018763294032883127,0.01369101132646977,0.968390941619873
model-seed_110493-lr_1e-06-ep_6,0.27025915261209377,0.24075000000000002,0.19462302746931603,0.19848870925226259,0.26627981947130885,0.3065101983794356,0.3249527199911002,0.3226425438596492,0.31627632355835467,0.3551151580074987,0.32204709087371086,0.3201255394272263,0.2609833126047786,0.05238339124755542,0.11436515800749869,0.8857117891311646
model-seed_137478-lr_5e-05-ep_7,0.23053810434307564,0.15375632541845075,0.052631578947368474,0.09490333919156413,0.14819186608005153,0.18779736915757061,0.2455764679364365,0.257103257103257,0.18347704030479262,0.21579882465491318,0.10048680502177809,0.13663894877322658,0.10043675001639936,0.026565152760181343,0.062042499236462434,0.9407898783683777
model-seed_104910-lr_3e-05-ep_3,0.18777292576419213,0.16220064724919092,0.06320013375689681,0.0952923643376874,0.13934338573414606,0.1815135437028763,0.23883277216610554,0.25591695501730105,0.1783590963139121,0.2057429229310579,0.13400583747247685,0.15097220808307021,0.1121831189878399,0.06814402925310892,0.04354227568186697,0.8737651705741882
model-seed_383688-lr_5e-05-ep_3,0.21707385565852289,0.2326656394453004,0.05856723921240048,0.09734513274336276,0.1407089151450054,0.1871508379888268,0.24513881083511302,0.2668508287292817,0.1815311760063142,0.2240613645538958,0.1256286512573025,0.14340731732036083,0.10830160187156945,0.04977697307075879,-0.008604274891404584,0.9253159761428833
model-seed_980601-lr_7e-05-ep_5,0.2364648573416842,0.20989917506874423,0.05494505494505508,0.09629370016647687,0.14905498281786944,0.19274755927475595,0.2552904097253489,0.26149584487534616,0.18954773869346742,0.23337430015021154,0.11347372725414029,0.14929634917397505,0.1058245883390216,0.025030987533661953,0.02347512508146732,0.9227215647697449
model-seed_355093-lr_3e-05-ep_6,0.1960067491563554,0.15132441646997108,0.055727813626078926,0.089647905874089,0.13514662133446675,0.18737782742250753,0.23839285714285718,0.26146663004669046,0.1768680445151033,0.21146565711195242,0.10613895857866973,0.13320482905549358,0.09900446451307181,0.06545988089033505,0.06014124064198134,0.9273558259010315
model-seed_641962-lr_3e-05-ep_6,0.22454595487066586,0.1552941176470587,0.05400872190540096,0.08540235957034681,0.14082687338501287,0.1851643720146109,0.23795554552634535,0.25719849770482694,0.17346123101518784,0.21403221403221395,0.10552197520745832,0.1238775510204081,0.10011919016595738,0.03265254283416108,0.05873809638515526,0.8978209495544434
model-seed_672846-lr_0.0001-ep_3,0.22906127037661617,0.17417846473567988,0.06491110365649111,0.09977164939399275,0.1715300958328848,0.20264007864064038,0.25916788157452053,0.2682119205298015,0.1960901655695193,0.2360316162442082,0.1444591701498622,0.16541810083012765,0.12696678987974605,0.03915065015318531,0.061853151508528326,0.9156180620193481
model-seed_759137-lr_0.0001-ep_3,0.21802611259300853,0.22378350247202705,0.07967860729829257,0.12267202937833355,0.18760757314974175,0.22375846501128682,0.2748708735683809,0.26762510367708037,0.21221800758634457,0.2513528138528137,0.14552655631156708,0.1813513241365421,0.1376042455865338,0.04959899108407184,0.027569311380786665,0.9362055063247681
model-seed_541212-lr_7e-05-ep_7,0.22676478604524386,0.1693149257619172,0.060438640549137834,0.0988953182535508,0.1601201974672678,0.1895314478682989,0.2516466045877811,0.2689404528934862,0.20032212603181,0.23946754494304923,0.11379081293750959,0.13111905978538585,0.11144988365130508,0.042175666848242366,0.07015261918113203,0.9336555600166321
model-seed_319900-lr_7e-05-ep_7,0.2235131396957124,0.18894499069891046,0.05998659517426275,0.0961066292528936,0.16272094268880544,0.19262466824975555,0.2533303228719802,0.2596731387065232,0.1956696070569366,0.23931043844169952,0.11155419222903873,0.13870541611624843,0.11142057669736898,0.036159999010810795,0.05036544774278906,0.9448489546775818
